ID,FIELD_INFO_ID,PARENT_ID,FIELD_NAME_EN,FIELD_NAME_CN,TABLE_NAME,FIELD_TYPE,FIELD_LENGHT,IS_NOT_NULL,REMARK,PURPOSE,DATA_SRC,IS_MULTIPLE,ORDER_FIELD_NAME_EN
10504,4009,4000,MANAGEMENT_UNIT_ATTR,管理单位属性,mw_em_master,0,100,1,keyword,",EVENT-LIST,",pubevent_1409,0,
10507,5000,0,NE_TAG,网元标签,mw_em_master,0,4000,1,json,",DISPATCH,DISPATCH-TIME,ABNORMAL,WARNING,",system,0,
10508,5001,5000,WIR_SITE_TYPE,无线站点类型,mw_em_master,0,100,1,keyword,",EVENT-LIST,",system,0,
10509,5002,5000,NE_LONGITUDE,网元经度,mw_em_master,0,100,1,keyword,",EVENT-LIST,",system,0,
10510,5003,5000,NE_LATITUDE,网元纬度,mw_em_master,0,100,1,keyword,",EVENT-LIST,",system,0,
10511,5004,0,BUSINESS_LEVEL,业务层级,mw_em_master,0,100,1,keyword,",WARNING,",system,0,
10513,5006,5000,MACHINE_ROOM_INFO,机房名称,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,WARNING,",system,0,
10528,7000,0,DISPATCH_INFO,派单信息,mw_em_master,0,2000,1,json,",DISPATCH,DISPATCH-TIME,ABNORMAL,WARNING,",system,0,
10533,7005,7000,DELAY_TIME,延迟时间,mw_em_master,1,4,1,int,",WARNING,",system,0,
10535,66,0,EVENT_CAT,事件描述,mw_em_master,0,500,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1409,0,
10537,68,0,IS_EFFECT_BUSINESS,是否影响业务,mw_em_master,0,1,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
10538,69,0,SERV_EFFECT_TYPE,影响业务类型,mw_em_master,0,100,1,keyword,",DISPATCH,DISPATCH-TIME,ABNORMAL,,EVENT-LIST,WARNING,",pubevent_1407,0,
